subject,seed,budget,canonical_operating_profile,selection_rule,solution_id,weighted_modularity,modularity_max_in_feasible_front,realised_modularity_loss,eligible_candidate_count,coupling,cohesion,imbalance,cluster_count,max_cluster_ratio,singleton_ratio,label_vector
daytrader,0,0.05,True,minimum_imbalance_within_relative_modularity_band,seed0_solution054,0.2660538093503631,0.2660538093503631,0.0,1,0.5345940959409594,14.832683982683983,0.6592983097983453,10,0.2264150943396226,0.0,"[0, 1, 2, 3, 3, 3, 4, 4, 2, 5, 2, 0, 1, 5, 5, 2, 5, 2, 1, 2, 6, 6, 3, 4, 4, 7, 0, 3, 1, 1, 1, 5, 8, 2, 2, 3, 2, 5, 1, 2, 2, 2, 3, 3, 7, 3, 3, 0, 9, 9, 9, 3, 8]"
daytrader,1,0.05,True,minimum_imbalance_within_relative_modularity_band,seed1_solution064,0.1698876479078443,0.1698876479078443,0.0,1,0.6217712177121771,16.69781946448613,0.489839810782912,9,0.2075471698113207,0.0188679245283018,"[0, 0, 1, 1, 2, 3, 4, 4, 5, 3, 0, 1, 2, 0, 6, 7, 2, 5, 6, 6, 1, 1, 3, 4, 4, 1, 5, 5, 0, 0, 1, 0, 1, 6, 7, 7, 5, 5, 4, 5, 7, 2, 0, 6, 1, 4, 4, 0, 8, 7, 0, 6, 0]"
daytrader,2,0.05,True,minimum_imbalance_within_relative_modularity_band,seed2_solution041,0.3184115267697879,0.324596763898912,0.01905514107666938,2,0.4252767527675277,7.06041181041181,0.8312600291287053,10,0.2452830188679245,0.0566037735849056,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 2, 2, 7, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 4, 8, 9, 9, 9, 0, 0]"
daytrader,3,0.05,True,minimum_imbalance_within_relative_modularity_band,seed3_solution060,0.1772918694938795,0.1802069433286583,0.016176257035015188,2,0.4843173431734317,4.691717171717171,0.0462167875996826,5,0.2075471698113207,0.0,"[0, 1, 1, 2, 0, 0, 2, 1, 1, 0, 3, 4, 2, 0, 0, 1, 4, 3, 3, 2, 4, 4, 0, 4, 1, 1, 1, 3, 1, 1, 3, 3, 2, 4, 2, 4, 4, 3, 4, 4, 2, 3, 0, 0, 1, 3, 3, 2, 2, 4, 3, 0, 2]"
daytrader,4,0.05,True,minimum_imbalance_within_relative_modularity_band,seed4_solution042,0.2886576256791166,0.2886576256791166,0.0,1,0.4257380073800738,7.323702223702224,0.7179734939788847,9,0.2641509433962264,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 2, 4, 0, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 3, 2, 7, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 6, 8, 8, 8, 0, 0]"
daytrader,5,0.05,True,minimum_imbalance_within_relative_modularity_band,seed5_solution037,0.1779881129069593,0.1779881129069593,0.0,1,0.3450184501845018,5.628086419753086,0.8141678871845818,9,0.3018867924528302,0.0377358490566037,"[0, 0, 1, 0, 1, 0, 0, 2, 3, 0, 4, 2, 3, 0, 0, 0, 0, 1, 1, 5, 4, 4, 0, 2, 2, 5, 4, 0, 0, 0, 5, 0, 3, 3, 2, 2, 1, 6, 6, 1, 3, 1, 1, 0, 5, 1, 2, 7, 8, 2, 1, 2, 2]"
daytrader,6,0.05,True,minimum_imbalance_within_relative_modularity_band,seed6_solution038,0.3198640107365095,0.3198640107365095,0.0,2,0.4215867158671587,7.671596304929638,0.7179734939788848,9,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 4, 4, 2, 4, 2, 4, 4, 2, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 4, 0, 1, 1, 1, 4, 6, 2, 7, 0, 2, 4, 4, 2, 2, 2, 0, 0, 1, 0, 0, 6, 8, 8, 8, 0, 0]"
daytrader,7,0.05,True,minimum_imbalance_within_relative_modularity_band,seed7_solution074,0.1873801120967853,0.1913697091883282,0.02084758924734914,2,0.6033210332103321,6.599503968253968,0.3284319846326266,8,0.1886792452830188,0.0,"[0, 1, 1, 2, 2, 3, 3, 2, 1, 4, 0, 4, 1, 4, 4, 1, 4, 1, 5, 6, 6, 6, 3, 3, 4, 5, 0, 0, 1, 5, 5, 4, 4, 1, 5, 6, 3, 4, 4, 1, 6, 2, 0, 0, 5, 0, 5, 2, 7, 7, 7, 0, 6]"
daytrader,8,0.05,True,minimum_imbalance_within_relative_modularity_band,seed8_solution052,0.3053628933429556,0.3053628933429556,0.0,1,0.4423431734317343,5.452452408702408,0.6034787015743198,8,0.2452830188679245,0.0188679245283018,"[0, 1, 2, 0, 0, 0, 3, 3, 2, 4, 2, 4, 2, 4, 4, 5, 4, 2, 1, 2, 5, 5, 0, 3, 3, 1, 6, 0, 1, 1, 1, 4, 2, 2, 4, 0, 2, 4, 4, 2, 3, 2, 0, 0, 1, 0, 0, 1, 7, 7, 7, 0, 0]"
daytrader,9,0.05,True,minimum_imbalance_within_relative_modularity_band,seed9_solution051,0.2671985420269332,0.2700822343786168,0.010677090103012992,2,0.4838560885608856,6.508658008658009,0.6067145355023972,9,0.2075471698113207,0.0188679245283018,"[0, 1, 2, 0, 3, 0, 4, 4, 4, 5, 3, 5, 3, 5, 5, 3, 5, 3, 1, 6, 7, 7, 0, 4, 4, 1, 6, 1, 1, 1, 1, 5, 1, 4, 1, 0, 3, 5, 5, 3, 0, 3, 0, 0, 1, 1, 0, 8, 2, 2, 2, 0, 5]"
