stage,focal_cluster_id,external_cluster_id,external_class_count,external_classes,boundary_edge_count,aggregated_boundary_weight
stage2,C13,C05,26,"[""org.apache.xerces.dom.PSVIAttrNSImpl"",""org.apache.xerces.dom.PSVIElementNSImpl"",""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.validation.ValidationState"",""org.apache.xerces.impl.xs.AttributePSVImpl"",""org.apache.xerces.impl.xs.ElementPSVImpl"",""org.apache.xerces.impl.xs.XMLSchemaValidator"",""org.apache.xerces.impl.xs.XMLSchemaValidator$ValueStoreCache"",""org.apache.xerces.impl.xs.XSImplementationImpl"",""org.apache.xerces.impl.xs.identity.Field"",""org.apache.xerces.impl.xs.identity.Field$Matcher"",""org.apache.xerces.impl.xs.identity.IdentityConstraint"",""org.apache.xerces.impl.xs.identity.KeyRef"",""org.apache.xerces.impl.xs.identity.Selector"",""org.apache.xerces.impl.xs.identity.Selector$Matcher"",""org.apache.xerces.impl.xs.identity.UniqueOrKey"",""org.apache.xerces.impl.xs.identity.XPathMatcher"",""org.apache.xerces.impl.xs.models.XSCMValidator"",""org.apache.xerces.jaxp.validation.DOMResultBuilder"",""org.apache.xerces.xs.AttributePSVI"",""org.apache.xerces.xs.ElementPSVI"",""org.apache.xerces.xs.ItemPSVI"",""org.apache.xerces.xs.ShortList"",""org.apache.xerces.xs.StringList"",""org.apache.xerces.xs.XSException"",""org.apache.xerces.xs.XSValue""]",121,538
stage2,C13,C04,20,"[""org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar"",""org.apache.xerces.impl.xs.XMLSchemaLoader"",""org.apache.xerces.impl.xs.XSLoaderImpl"",""org.apache.xerces.impl.xs.traversers.XSDHandler$XSAnnotationGrammarPool"",""org.apache.xerces.impl.xs.util.XSGrammarPool"",""org.apache.xerces.parsers.DOMASBuilderImpl"",""org.apache.xerces.parsers.XMLGrammarCachingConfiguration"",""org.apache.xerces.util.DOMInputSource"",""org.apache.xerces.util.SAXInputSource"",""org.apache.xerces.util.StAXInputSource"",""org.apache.xerces.util.XMLGrammarPoolImpl"",""org.apache.xerces.util.XMLResourceIdentifierImpl"",""org.apache.xerces.xni.grammars.Grammar"",""org.apache.xerces.xni.grammars.XMLGrammarDescription"",""org.apache.xerces.xni.grammars.XMLGrammarPool"",""org.apache.xerces.xni.grammars.XMLSchemaDescription"",""org.apache.xerces.xni.grammars.XSGrammar"",""org.apache.xerces.xni.parser.XMLEntityResolver"",""org.apache.xerces.xni.parser.XMLInputSource"",""org.apache.xerces.xs.XSModel""]",67,429
stage2,C13,C09,34,"[""org.apache.xerces.impl.dv.InvalidDatatypeValueException"",""org.apache.xerces.impl.dv.ValidationContext"",""org.apache.xerces.impl.dv.xs.AnyAtomicDV"",""org.apache.xerces.impl.dv.xs.AnySimpleDV"",""org.apache.xerces.impl.dv.xs.AnyURIDV"",""org.apache.xerces.impl.dv.xs.Base64BinaryDV"",""org.apache.xerces.impl.dv.xs.Base64BinaryDV$XBase64"",""org.apache.xerces.impl.dv.xs.BooleanDV"",""org.apache.xerces.impl.dv.xs.DateDV"",""org.apache.xerces.impl.dv.xs.DateTimeDV"",""org.apache.xerces.impl.dv.xs.DayDV"",""org.apache.xerces.impl.dv.xs.DayTimeDurationDV"",""org.apache.xerces.impl.dv.xs.DecimalDV"",""org.apache.xerces.impl.dv.xs.DoubleDV"",""org.apache.xerces.impl.dv.xs.DurationDV"",""org.apache.xerces.impl.dv.xs.EntityDV"",""org.apache.xerces.impl.dv.xs.FloatDV"",""org.apache.xerces.impl.dv.xs.HexBinaryDV"",""org.apache.xerces.impl.dv.xs.IDDV"",""org.apache.xerces.impl.dv.xs.IDREFDV"",""org.apache.xerces.impl.dv.xs.IntegerDV"",""org.apache.xerces.impl.dv.xs.ListDV"",""org.apache.xerces.impl.dv.xs.MonthDV"",""org.apache.xerces.impl.dv.xs.MonthDayDV"",""org.apache.xerces.impl.dv.xs.PrecisionDecimalDV"",""org.apache.xerces.impl.dv.xs.QNameDV"",""org.apache.xerces.impl.dv.xs.StringDV"",""org.apache.xerces.impl.dv.xs.TimeDV"",""org.apache.xerces.impl.dv.xs.TypeValidator"",""org.apache.xerces.impl.dv.xs.UnionDV"",""org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$ValidationContextImpl"",""org.apache.xerces.impl.dv.xs.YearDV"",""org.apache.xerces.impl.dv.xs.YearMonthDV"",""org.apache.xerces.impl.dv.xs.YearMonthDurationDV""]",42,218
stage2,C13,C02,10,"[""org.apache.xerces.impl.XMLErrorReporter"",""org.apache.xerces.impl.dtd.XMLDTDValidator"",""org.apache.xerces.impl.dv.DVFactoryException"",""org.apache.xerces.impl.xs.opti.SchemaParsingConfig"",""org.apache.xerces.jaxp.validation.DOMResultAugmentor"",""org.apache.xerces.parsers.XML11Configuration"",""org.apache.xerces.xni.QName"",""org.apache.xerces.xni.XMLAttributes"",""org.apache.xerces.xni.parser.XMLComponentManager"",""org.apache.xerces.xpointer.ShortHandPointer""]",20,131
stage2,C13,C19,15,"[""org.apache.xerces.impl.xs.opti.DefaultDocument"",""org.apache.xerces.impl.xs.opti.ElementImpl"",""org.apache.xerces.impl.xs.opti.NodeImpl"",""org.apache.xerces.impl.xs.opti.SchemaDOMParser"",""org.apache.xerces.impl.xs.traversers.StAXSchemaParser"",""org.apache.xerces.impl.xs.traversers.XSDHandler$SAX2XNIUtil"",""org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$XMLSchemaTypeInfoProvider"",""org.apache.xerces.parsers.AbstractSAXParser"",""org.apache.xerces.parsers.DOMParser"",""org.apache.xerces.parsers.DOMParserImpl"",""org.apache.xerces.parsers.SAXParser"",""org.apache.xerces.util.DefaultErrorHandler"",""org.apache.xerces.util.StAXLocationWrapper"",""org.apache.xerces.xni.XMLLocator"",""org.apache.xerces.xni.parser.XMLParseException""]",22,128
stage2,C13,C08,1,"[""org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser""]",8,102
stage2,C13,C03,7,"[""org.apache.xerces.impl.xs.SchemaNamespaceSupport$SchemaRootContext"",""org.apache.xerces.impl.xs.traversers.SchemaContentHandler"",""org.apache.xerces.jaxp.validation.DOMValidatorHelper"",""org.apache.xerces.util.NamespaceSupport"",""org.apache.xerces.util.PrimeNumberSequenceGenerator"",""org.apache.xerces.util.SymbolTable"",""org.apache.xml.serialize.DOMSerializerImpl""]",16,87
stage2,C13,C01,7,"[""org.apache.xerces.dom.ASModelImpl"",""org.apache.xerces.dom.AttrImpl"",""org.apache.xerces.dom.AttrNSImpl"",""org.apache.xerces.dom.DOMNormalizer"",""org.apache.xerces.dom.ElementNSImpl"",""org.apache.xerces.dom.NodeImpl"",""org.apache.xerces.parsers.AbstractDOMParser""]",12,47
stage2,C13,C12,2,"[""org.apache.xerces.impl.xs.models.CMBuilder"",""org.apache.xerces.impl.xs.models.XSDFACM""]",9,46
stage2,C13,C26,1,"[""org.apache.xerces.xs.XSNamespaceItem""]",30,44
