subject,seed,solution_id,class_id,class_name,cluster_id
jfreechart,2,seed2_solution000,org.jfree.chart.ChartColor,org.jfree.chart.ChartColor,0
jfreechart,2,seed2_solution000,org.jfree.chart.ChartFactory,org.jfree.chart.ChartFactory,1
jfreechart,2,seed2_solution000,org.jfree.chart.ChartFrame,org.jfree.chart.ChartFrame,2
jfreechart,2,seed2_solution000,org.jfree.chart.ChartHints,org.jfree.chart.ChartHints,3
jfreechart,2,seed2_solution000,org.jfree.chart.ChartHints$Key,org.jfree.chart.ChartHints$Key,3
jfreechart,2,seed2_solution000,org.jfree.chart.ChartMouseEvent,org.jfree.chart.ChartMouseEvent,0
jfreechart,2,seed2_solution000,org.jfree.chart.ChartMouseListener,org.jfree.chart.ChartMouseListener,0
jfreechart,2,seed2_solution000,org.jfree.chart.ChartPanel,org.jfree.chart.ChartPanel,1
jfreechart,2,seed2_solution000,org.jfree.chart.ChartRenderingInfo,org.jfree.chart.ChartRenderingInfo,1
jfreechart,2,seed2_solution000,org.jfree.chart.ChartTheme,org.jfree.chart.ChartTheme,1
jfreechart,2,seed2_solution000,org.jfree.chart.ChartTransferable,org.jfree.chart.ChartTransferable,4
jfreechart,2,seed2_solution000,org.jfree.chart.ChartUtilities,org.jfree.chart.ChartUtilities,1
jfreechart,2,seed2_solution000,org.jfree.chart.ClipPath,org.jfree.chart.ClipPath,5
jfreechart,2,seed2_solution000,org.jfree.chart.DrawableLegendItem,org.jfree.chart.DrawableLegendItem,6
jfreechart,2,seed2_solution000,org.jfree.chart.Effect3D,org.jfree.chart.Effect3D,1
jfreechart,2,seed2_solution000,org.jfree.chart.HashUtilities,org.jfree.chart.HashUtilities,1
jfreechart,2,seed2_solution000,org.jfree.chart.JFreeChart,org.jfree.chart.JFreeChart,1
jfreechart,2,seed2_solution000,org.jfree.chart.JFreeChart$1,org.jfree.chart.JFreeChart$1,7
jfreechart,2,seed2_solution000,org.jfree.chart.JFreeChartInfo,org.jfree.chart.JFreeChartInfo,0
jfreechart,2,seed2_solution000,org.jfree.chart.LegendItem,org.jfree.chart.LegendItem,1
jfreechart,2,seed2_solution000,org.jfree.chart.LegendItemCollection,org.jfree.chart.LegendItemCollection,0
jfreechart,2,seed2_solution000,org.jfree.chart.LegendItemSource,org.jfree.chart.LegendItemSource,0
jfreechart,2,seed2_solution000,org.jfree.chart.LegendRenderingOrder,org.jfree.chart.LegendRenderingOrder,8
jfreechart,2,seed2_solution000,org.jfree.chart.MouseWheelHandler,org.jfree.chart.MouseWheelHandler,1
jfreechart,2,seed2_solution000,org.jfree.chart.PaintMap,org.jfree.chart.PaintMap,1
jfreechart,2,seed2_solution000,org.jfree.chart.PolarChartPanel,org.jfree.chart.PolarChartPanel,1
jfreechart,2,seed2_solution000,org.jfree.chart.StandardChartTheme,org.jfree.chart.StandardChartTheme,1
jfreechart,2,seed2_solution000,org.jfree.chart.StandardChartTheme$1,org.jfree.chart.StandardChartTheme$1,9
jfreechart,2,seed2_solution000,org.jfree.chart.StrokeMap,org.jfree.chart.StrokeMap,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.AbstractAnnotation,org.jfree.chart.annotations.AbstractAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.AbstractXYAnnotation,org.jfree.chart.annotations.AbstractXYAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.Annotation,org.jfree.chart.annotations.Annotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.CategoryAnnotation,org.jfree.chart.annotations.CategoryAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.CategoryLineAnnotation,org.jfree.chart.annotations.CategoryLineAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.CategoryPointerAnnotation,org.jfree.chart.annotations.CategoryPointerAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.CategoryTextAnnotation,org.jfree.chart.annotations.CategoryTextAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.TextAnnotation,org.jfree.chart.annotations.TextAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYAnnotation,org.jfree.chart.annotations.XYAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYAnnotationBoundsInfo,org.jfree.chart.annotations.XYAnnotationBoundsInfo,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYBoxAnnotation,org.jfree.chart.annotations.XYBoxAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYDataImageAnnotation,org.jfree.chart.annotations.XYDataImageAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYDrawableAnnotation,org.jfree.chart.annotations.XYDrawableAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYImageAnnotation,org.jfree.chart.annotations.XYImageAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYLineAnnotation,org.jfree.chart.annotations.XYLineAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYPointerAnnotation,org.jfree.chart.annotations.XYPointerAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYPolygonAnnotation,org.jfree.chart.annotations.XYPolygonAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYShapeAnnotation,org.jfree.chart.annotations.XYShapeAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYTextAnnotation,org.jfree.chart.annotations.XYTextAnnotation,1
jfreechart,2,seed2_solution000,org.jfree.chart.annotations.XYTitleAnnotation,org.jfree.chart.annotations.XYTitleAnnotation,0
jfreechart,2,seed2_solution000,org.jfree.chart.axis.Axis,org.jfree.chart.axis.Axis,1
jfreechart,2,seed2_solution000,org.jfree.chart.axis.AxisCollection,org.jfree.chart.axis.AxisCollection,10
