subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic
jpetstore,stage2,0,budgeted_balance_0.000,0,selected,1,seed0_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.005,0.0050000000000000001041,selected,2,seed0_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0.0050000000000000001041,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.010,0.010000000000000000208,selected,3,seed0_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0.010000000000000000208,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.025,0.025000000000000001388,selected,10,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,0.025000000000000001388,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.050,0.050000000000000002776,selected,16,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,0.050000000000000002776,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.100,0.10000000000000000555,selected,36,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,0.10000000000000000555,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.150,0.14999999999999991118,selected,58,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,0.14999999999999991118,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,0,budgeted_balance_0.200,0.2000000000000000111,selected,72,seed0_solution006,"[0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.43411979881115680957,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.8999999999999994671,0,,0.017983602374828499409,1,,False,False,0.017983602374828499409,0.2000000000000000111,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,1,budgeted_balance_0.000,0,selected,1,seed1_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,1,budgeted_balance_0.005,0.0050000000000000001041,selected,2,seed1_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0.0050000000000000001041,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,1,budgeted_balance_0.010,0.010000000000000000208,selected,3,seed1_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194632163,0.74814814814814811772,2.9705882352941177516,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.25185185185185182677,5.4773809523809520172,0.20412414523193139759,,0,0,,True,True,0,0.010000000000000000208,False,True,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,1,budgeted_balance_0.025,0.025000000000000001388,selected,9,seed1_solution002,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43669257735101352225,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.25185185185185182677,4.9083333333333332149,0.11785113019775790566,,0.012163755594017399558,0.42264973081037410241,,False,False,0.012163755594017399558,0.025000000000000001388,False,False,0.44206980643194632163,0.20412414523193139759,
jpetstore,stage2,1,budgeted_balance_0.050,0.050000000000000002776,selected,18,seed1_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440327917,0.72592592592592586342,2.6486486486486486847,4,6,6,6,0.25,0,0,0.27407407407407402555,4.9000000000000003553,0,,0.032422890477930697839,1,,False,False,0.032422890477930697839,0.050000000000000002776,False,False,0.44206980643194632163,0.20412414523193139759,
