subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,_knee_distance
jpetstore,stage2,1,budgeted_balance_0.050,,selected,0,seed1_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,1,budgeted_balance_0.100,,selected,0,seed1_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,1,knee_native,,selected,0,seed1_solution026,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.41513488797439413,0.66172839506172842,1.9562043795620438,5,4.7999999999999998,6,2,0.25,0,0.33333333333333337,0.33827160493827163,8.7733333333333334,0.33333333333333337,,0.060929106819012521,-0.63299316185545251,,False,False,0.060929106819012521,,False,False,0.44206980643194638,0.20412414523193148,,0.8316599713495143
jpetstore,stage2,1,extreme_balance,,selected,0,seed1_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,conservative,,selected,0,seed2_solution001,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,budgeted_balance_0.010,,selected,0,seed2_solution001,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,budgeted_balance_0.025,,selected,0,seed2_solution003,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43669257735101358,0.74814814814814812,2.9705882352941178,4,6,7,5,0.29166666666666669,0,0.11785113019775793,0.25185185185185183,4.9083333333333332,0.11785113019775793,,0.012163755594017452,0.4226497308103741,,False,False,0.012163755594017452,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,budgeted_balance_0.050,,selected,0,seed2_solution008,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,budgeted_balance_0.100,,selected,0,seed2_solution008,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,2,knee_native,,selected,0,seed2_solution021,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43013869836915103,0.68395061728395057,2.1640625,5,4.7999999999999998,6,2,0.25,0,0.30618621784789729,0.31604938271604938,8.2600000000000016,0.30618621784789729,,0.02698919466835847,-0.50000000000000033,,False,False,0.02698919466835847,,False,False,0.44206980643194638,0.20412414523193148,,0.7796755947154469
jpetstore,stage2,2,extreme_balance,,selected,0,seed2_solution008,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.42773662551440333,0.72592592592592597,2.6486486486486487,4,6,6,6,0.25,0,0,0.27407407407407408,4.9000000000000004,0,,0.032422890477930746,1,,False,False,0.032422890477930746,,False,False,0.44206980643194638,0.20412414523193148,,
jpetstore,stage2,3,conservative,,selected,0,seed3_solution000,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden,raw_leiden,True,0.44206980643194638,0.74814814814814812,2.9705882352941178,4,6,7,4,0.29166666666666669,0,0.20412414523193148,0.25185185185185183,5.477380952380952,0.20412414523193148,,0,0,,True,True,0,,False,True,0.44206980643194638,0.20412414523193148,,
