subject,seed,resolution,n_iterations,input_graph,weight_column,class_count,coupling,cohesion,imbalance,weighted_modularity,cluster_count,singleton_count,singleton_ratio,max_cluster_size,max_cluster_ratio,stage2_feasible
daytrader,13,0.5,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,13,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,13,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,13,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,13,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,13,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,13,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,13,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,13,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,13,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,13,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,14,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,14,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,14,0.75,-1,G_raw,raw_weight,53,0.32656826568265684,6.306470588235294,1.110004987176055,0.3058079785133643,10,4,0.07547169811320754,17,0.32075471698113206,True
daytrader,14,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,14,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,14,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,14,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,14,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,14,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,14,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,14,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,14,3.0,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,15,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,15,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,15,0.75,-1,G_raw,raw_weight,53,0.32795202952029523,5.494911707373008,1.1912221975595922,0.30746970782669064,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,15,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,15,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,15,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,15,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,15,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,15,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,15,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,15,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,15,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,16,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,16,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,16,0.75,-1,G_raw,raw_weight,53,0.32656826568265684,6.306470588235294,1.110004987176055,0.3058079785133643,10,4,0.07547169811320754,17,0.32075471698113206,True
daytrader,16,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,16,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,16,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,16,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,16,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,16,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,16,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,16,2.75,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,16,3.0,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,17,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,17,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,17,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,17,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,17,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,17,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,17,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,17,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,17,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,17,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,17,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,17,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,18,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,18,0.5,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,18,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,18,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,18,1.25,-1,G_raw,raw_weight,53,0.5055350553505535,7.716910866910867,0.690163817289505,0.31334113012486203,13,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,18,1.5,-1,G_raw,raw_weight,53,0.5055350553505535,7.716910866910867,0.690163817289505,0.31334113012486203,13,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,18,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,18,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,18,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,18,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,18,2.75,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,18,3.0,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,19,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,19,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,19,0.75,-1,G_raw,raw_weight,53,0.32656826568265684,6.306470588235294,1.110004987176055,0.3058079785133643,10,4,0.07547169811320754,17,0.32075471698113206,True
daytrader,19,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,19,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,19,1.5,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,19,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,19,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,19,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,19,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,19,2.75,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,19,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,20,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,20,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,20,0.75,-1,G_raw,raw_weight,53,0.3118081180811808,6.9185672514619885,1.184478952129774,0.30044706379951247,10,4,0.07547169811320754,19,0.3584905660377358,True
daytrader,20,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,20,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,20,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,20,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,20,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,20,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,20,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,20,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,20,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,21,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,21,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,21,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,21,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,21,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,21,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,21,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,21,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,21,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,21,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,21,2.75,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,21,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,22,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,22,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,22,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,22,1.0,-1,G_raw,raw_weight,53,0.41420664206642066,7.082885632885632,0.8342524894126091,0.31537390558407413,12,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,22,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,22,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,22,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,22,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,22,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,22,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,22,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,22,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,23,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,23,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,23,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,23,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,23,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,23,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,23,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,23,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,23,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,23,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,23,2.75,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,23,3.0,-1,G_raw,raw_weight,53,0.6642066420664207,10.036904761904761,0.5517053402722055,0.220255885676938,16,4,0.07547169811320754,7,0.1320754716981132,True
daytrader,24,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,24,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,24,0.75,-1,G_raw,raw_weight,53,0.32656826568265684,6.306470588235294,1.110004987176055,0.3058079785133643,10,4,0.07547169811320754,17,0.32075471698113206,True
daytrader,24,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,24,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,24,1.5,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,24,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,24,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,24,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,24,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,24,2.75,-1,G_raw,raw_weight,53,0.566420664206642,11.119607843137254,0.5809360120128548,0.28312916575890856,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,24,3.0,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,25,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,25,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,25,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
daytrader,25,1.0,-1,G_raw,raw_weight,53,0.41789667896678967,6.5407774044137685,0.8929931748074893,0.324596763898912,11,4,0.07547169811320754,13,0.24528301886792453,True
daytrader,25,1.25,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,25,1.5,-1,G_raw,raw_weight,53,0.4833948339483395,7.9703907203907205,0.7356071203629408,0.31911425923530445,13,4,0.07547169811320754,10,0.18867924528301888,True
daytrader,25,1.75,-1,G_raw,raw_weight,53,0.518450184501845,8.610714285714286,0.6929950064983758,0.3084043441333859,14,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,25,2.0,-1,G_raw,raw_weight,53,0.5424354243542435,9.547407407407407,0.610224967124386,0.2967887275159651,15,4,0.07547169811320754,9,0.16981132075471697,True
daytrader,25,2.25,-1,G_raw,raw_weight,53,0.5452029520295203,8.793750000000001,0.5915628455317314,0.2953360307934259,16,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,25,2.5,-1,G_raw,raw_weight,53,0.5618081180811808,11.107843137254903,0.6014104698305369,0.2859247772021078,17,5,0.09433962264150944,8,0.1509433962264151,True
daytrader,25,2.75,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,25,3.0,-1,G_raw,raw_weight,53,0.6605166051660517,9.5625,0.5719813732537403,0.2234805192263177,16,4,0.07547169811320754,8,0.1509433962264151,True
daytrader,26,0.25,-1,G_raw,raw_weight,53,0.0009225092250922509,4.892479613409846,1.96643243783606,0.036333161993981615,7,4,0.07547169811320754,44,0.8301886792452831,False
daytrader,26,0.5,-1,G_raw,raw_weight,53,0.03505535055350553,5.83798076923077,1.9106976204879758,0.09660858716520754,8,4,0.07547169811320754,40,0.7547169811320755,False
daytrader,26,0.75,-1,G_raw,raw_weight,53,0.31642066420664205,6.256465237166992,1.2541139138025559,0.30412305881591994,9,4,0.07547169811320754,20,0.37735849056603776,True
